subject,number_title
AMST,201-Intro to American Studies
ANTH,101-Intro Cultural & Social Anthro
ANTH,316-Political Anthropology
ANTH,321-Anthropology of Food
ANTH,342-Touring Cultures
ANTH,344-Urban Theory & Ethnography
ANTH,350-Amazonian Societies
ANTH,371UU-Immigration in Global Perspect
ANTH,481-Senior Thesis
ARAB,102-Beginning Arabic II
ARAB,202-Intermediate Arabic II
ARAB,302-Advanced Arabic
ARTH,114A-History of Western Art I
ARTH,115A-History of Western Art II
ARTH,118-History of Asian Art
ARTH,224-Arts of Japan and Korea
ARTH,303-Methods of Art History
ARTH,305-Egypt & Near East Art & Archae
ARTH,317-Laboratory in Museum Studies
ARTH,326-Romanesque & Gothic Art
ARTH,351A-Post Impress to Abstr Express
ARTH,357-Contemporary Asian Art
ARTH,470A6-Art Hist & Disability Studies
ARTS,104-Digital Approaches to Fine Art
ARTS,105-Design Principles
ARTS,120-Drawing I
ARTS,219-Digital Video Production
ARTS,223-Ceramics I
ARTS,231A-Sculpture I
ARTS,241A-Photography I
ARTS,281FF-Special Topics: The Ukelele
ARTS,281GG-Spec Topics: In the Darkroom
ARTS,311A-Ceramics II
ARTS,331B-Sculpture II
ARTS,342-Painting II
ARTS,454-Approaches to Video Art
ARTS,475-Senior Thesis Seminar
BIOL,126-Phage Hunters II w/lab
BIOL,127-Human Biology
BIOL,203-Science in Perspective
BIOL,210-Intro to Ecology and Evolution
BIOL,251-History of Biology
BIOL,260-The Research Process
BIOL,342-Nutrition and Metabolism
BIOL,442-Evolution
CHEM,107-Societal Chemistry
CHEM,318-Biochemistry II
CHEM,331-Environmental Chem
CHEM,343-Inorganic Chem
CHEM,384A-Physical Chem II
CHEM,471H-Top: Bioanalytical Chemistry
CHIN,102-Beginning Chinese II
CHIN,202-Intermediate Chinese II
CHIN,300C-Lang & Culture through Media
CLAS,103-Ideas & Culture:Greek Civ
CLAS,105-Ideas & Culture:Roman Civ
CLAS,110-Grk &Roman Mythology Art & Lit
CLAS,202C-Ancient Tragedy
COMM,205-Public Speaking
COMM,206-Small Group Communication
COMM,341-Communication Research Methods
COMM,370U-Sports & The Digital
COMM,460-Seminar in Digital Rhetoric
CPRD,104-Meditation Contemplative Pract
CPRD,304-Contemplative Practice II
CPSC,110-Intro to Computer Science
CPSC,219-Foundations for Data Science
CPSC,302-Computer Ethics
CPSC,370DD-Artificial Neural Systems
CPSC,414-Network Principles & Applicatn
CPSC,448-Advanced Web Development
DGST,101-Intro to Digital Studies
DGST,"201-Tinkering, Hacking & Making"
DGST,301C-Digital Media Studio
DGST,301E-Virtual and Augmented Reality
DGST,395-Applied digital Studies
ECON,201B-Princp of Macroeconomics
ECON,202B-Princp of Microeconomics
ECON,300-Intro Economic Analysis
ECON,303-Microeconomics
ECON,304-Macroeconomics
ECON,331A-Environmental Resource Econ
ECON,351C-Poverty/ Affluence & Equality
ECON,352-Labor Economics
ECON,374-History of Economic Thought
ECON,382-International Trade
ECON,384-Economic Development
ECON,428-Economics Multinational Corps.
ECON,462-Advanced Economic Analysis
ECON,488X-The New Macroeconomics
ECON,490C-How to Change the World
ECON,490E-Independent Research
EESC,210-Oceanography
EESC,221-Environmental Geology
EESC,307-Environmental Soil Science
EESC,330-Environ Regulations Compliance
EESC,340-Energy Resources & Technology
EESC,421T-Topic: Sustainable Aquaculture
ENGL,200-News Journalism
ENGL,202B-Writing About The Self
ENGL,202D1-Writing about Comedy
ENGL,2020-Writing about Writing
ENGL,202F1-Writing About Technology
ENGL,202G1-Writing About Conspiracy
ENGL,202H1-Writing About Fairy Tales
ENGL,205-Art of Literature
ENGL,206A-Global Issues in Literature
ENGL,245-Introduction to Cinema Studies
